Station,Date,Air_Temperature_Celcius,Relative_Humidity,WindSpeed_knots,Max_Wind_Speed,Precipitation 
948700,2016-12-31,19,56.8,7.9,11.1, 0.00I
948700,2017-01-02,15,50.7,9.2,13, 0.02G
948700,2017-01-03,16,53.6,8.1,15, 0.00G
948700,2017-01-04,24,61.6,7.7,14, 0.00I
948700,2017-01-05,24,62.3,7,13, 0.00I
948700,2017-01-06,26,60.8,6.9,12, 0.00I
948700,2017-01-07,32,54.1,12.8,19, 0.00I
948700,2017-01-08,20,57.7,9.9,18.1, 0.00I
948700,2017-01-09,19,56.3,5.8,8.9, 0.00I
948700,2017-01-10,20,57,8.7,13, 0.00I
948700,2017-01-11,18,53.3,7.9,14, 0.00I
948700,2017-01-12,22,56.3,8,13, 0.08G
948700,2017-01-13,19,54.1,11.2,18.1, 0.31G
948700,2017-01-14,17,50.4,11.9,16.9, 0.00G
948700,2017-01-15,16,50.8,5.8,12, 0.00I
948700,2017-01-16,24,55.4,5.9,9.9, 0.00I
948700,2017-01-17,24,53.4,9.9,15.9, 0.00I
948700,2017-01-18,16,46.7,10,16.9, 0.00I
948700,2017-01-19,19,57.2,8.9,15, 0.98G
948700,2017-01-20,16,50.9,12.9,21, 0.03G
948700,2017-01-21,17,52.5,6.7,12, 0.00G
948700,2017-01-22,23,59,6,12, 0.00I
948700,2017-01-23,25,58.3,12.2,22, 0.04G
948700,2017-01-24,16,48.2,9.9,18.1, 0.01G
948700,2017-01-25,17,50.8,9,15.9, 0.00G
948700,2017-01-26,18,53.5,8.8,13, 0.00I
948700,2017-01-27,19,56.1,6.9,12, 0.00A
948700,2017-01-28,18,57,7.4,15, 0.00I
948700,2017-01-29,22,58,6.9,12, 0.00I
948700,2017-01-30,20,55.8,10.5,15.9, 0.01G
948700,2017-01-31,16,48.4,8.1,15.9, 0.00G
948700,2017-02-01,16,48.9,5.4,8.9, 0.00I
948700,2017-02-02,18,53,6.6,14, 0.00I
948700,2017-02-03,18,54.4,5.7,9.9, 0.00I
948700,2017-02-04,26,53.7,8.7,15, 0.00I
948700,2017-02-05,21,64.5,10.6,15.9, 1.26G
948700,2017-02-06,16,48.1,9.3,12, 0.00G
948700,2017-02-07,20,57.4,10.9,22, 0.00I
948700,2017-02-08,31,61.9,14.1,23.9, 0.00I
948700,2017-02-09,22,62.7,7.6,18.1, 0.00I
948700,2017-02-10,21,60.4,6.8,12, 0.00I
948700,2017-02-11,19,53.8,9.2,15, 0.02G
948700,2017-02-12,16,48.3,14.4,19, 0.00G
948700,2017-02-13,16,53.6,12.1,16.9, 0.16G
948700,2017-02-14,14,48.5,7.3,14, 0.00G
948700,2017-02-15,22,53.4,10.9,19, 0.00I
948700,2017-02-16,18,53.6,7.2,15, 0.00I
948700,2017-02-17,18,49.4,9.3,13, 0.00I
948700,2017-02-18,15,44.6,9.7,12, 0.02G
948700,2017-02-19,13,48.5,10.7,14, 0.71G
948701,2017-02-20,15,49.1,9.6,16.9, 0.01G
948701,2017-02-21,16,51,6,13, 0.00G
948701,2017-02-22,23,49.6,10,19, 0.00I
948701,2017-02-23,18,55.5,8.9,15, 0.01G
948701,2017-02-24,16,48.3,9.4,14, 0.01G
948701,2017-02-25,17,52.6,10.3,15.9, 0.00G
948701,2017-02-26,21,54.9,7.4,16.9, 0.00I
948701,2017-02-27,24,55.6,5.9,13, 0.00I
948701,2017-02-28,23,54.1,5.7,14, 0.00I
948701,2017-03-01,21,57.3,5.4,9.9, 0.00I
948701,2017-03-02,20,62.6,10.1,15, 0.00I
948701,2017-03-03,21,59.5,12.4,21, 0.00I
948701,2017-03-04,22,62,7.9,11.1, 0.00I
948701,2017-03-05,20,58.8,11.5,15.9, 0.00I
948701,2017-03-06,20,52.9,17,21, 0.00I
948701,2017-03-07,19,51.5,10.2,20, 0.00I
948701,2017-03-08,21,51.7,7.2,13, 0.00I
948701,2017-03-09,23,53.4,6.1,11.1, 0.00I
948701,2017-03-10,19,60.2,6.4,12, 0.00I
948701,2017-03-11,20,59.7,8.6,15.9, 0.01G
948701,2017-03-12,21,58.1,5.3,11.1, 0.00G
948701,2017-03-13,20,62.2,7.1,15, 0.00I
948701,2017-03-14,25,58.3,7.1,13, 0.00I
948701,2017-03-15,28,58.4,11.9,18.1, 0.04G
948701,2017-03-16,18,53.3,10.8,15, 0.00G
948701,2017-03-17,18,51.1,8.1,15, 0.00I
948701,2017-03-18,21,52.8,4.1,11.1, 0.00I
948701,2017-03-19,24,55.2,5.8,11.1, 0.00I
948701,2017-03-20,23,63.8,7.1,15.9, 0.08G
948701,2017-03-21,20,67.4,8.5,14, 0.63G
948701,2017-03-22,18,57.5,16.1,21, 0.00G
948701,2017-03-23,18,55.6,12.8,19, 0.00I
948701,2017-03-24,20,58.4,6.1,11.1, 0.00I
948701,2017-03-25,23,61.9,8,15.9, 0.00I
948701,2017-03-26,23,60.6,10.1,26, 0.00I
948701,2017-03-27,17,53.4,9.4,25.1, 0.16G
948701,2017-03-28,18,50.6,6,13, 0.00G
948701,2017-03-29,17,49.9,12.2,21, 0.24G
948701,2017-03-30,13,47,7.9,15, 0.02G
948701,2017-03-31,14,45.8,6.5,9.9, 0.00G
948701,2017-04-01,14,45.7,9.2,15.9, 0.00I
948701,2017-04-02,12,43.4,9.3,15, 0.00I
948701,2017-04-03,15,47.7,5.9,13, 0.00I
948701,2017-04-04,16,47.5,5.4,12, 0.00I
948701,2017-04-05,17,47.2,4.9,13, 0.00I
948701,2017-04-06,19,44.2,7.8,15.9, 0.00I
948701,2017-04-07,21,47,13.2,20, 0.00I
948701,2017-04-08,19,52.8,12.5,21, 0.47G
948701,2017-04-09,11,48.2,10.8,22.9, 0.59G
948701,2017-04-10,14,50.4,12.8,20, 0.01G
948701,2017-04-11,14,52.5,7,13, 0.00G
948701,2017-04-12,14,52.4,6.7,11.1, 0.00I
948701,2017-04-13,16,54.9,5.9,9.9, 0.00I
948701,2017-04-14,13,48.5,5.3,11.1, 0.08G
948701,2017-04-15,12,44,4.7,7, 0.00G
948701,2017-04-16,15,49.3,3.6,7, 0.00I
948701,2017-04-17,13,51.4,4.6,8.9, 0.00I
948701,2017-04-18,15,56.1,5.1,9.9, 0.00I
948701,2017-04-19,22,52.8,9.1,15, 0.00I
948701,2017-04-20,20,53.5,7.2,15.9, 0.31G
948701,2017-04-21,17,58.1,11.7,19, 0.04G
948701,2017-04-22,18,58.9,5.5,14, 0.08G
948701,2017-04-23,17,59.3,4.2,7, 0.01G
948701,2017-04-24,19,60.5,7,11.1, 0.83G
948701,2017-04-25,14,52.8,9.3,18.1, 0.98G
948701,2017-04-26,11,40.8,12.2,20, 0.24G
948701,2017-04-27,12,48.2,7.3,11.1, 0.03G
948701,2017-04-28,16,54.8,8.3,9.9, 0.00G
948701,2017-04-29,15,51.9,6.6,12, 0.01G
948701,2017-04-30,15,45.6,10.2,15, 0.00G
948701,2017-05-01,14,49.2,10.5,20, 0.12G
948701,2017-05-02,10,42.6,8.9,15, 0.04G
948701,2017-05-03,10,43.1,4.7,8, 0.00G
948701,2017-05-04,10,43.3,2.6,7, 0.00I
948701,2017-05-05,14,47.4,7.1,14, 0.00I
948701,2017-05-06,12,45.1,11.9,18.1, 0.16G
948701,2017-05-07,12,45,10.5,16.9, 0.16G
948701,2017-05-08,12,49.9,6.1,13, 0.02G
948701,2017-05-09,12,49,4.6,8.9, 0.00G
948701,2017-05-10,10,45.7,3.7,8, 0.01G
948701,2017-05-11,9,45.3,2.5,6, 0.00G
948701,2017-05-12,14,47.9,5.3,9.9, 0.00I
948701,2017-05-13,9,44,2.8,8, 0.00I
948701,2017-05-14,10,46.8,5.3,9.9, 0.00I
948701,2017-05-15,10,47,5.2,8.9, 0.00I
948701,2017-05-16,12,48.8,4.2,7, 0.00I
948701,2017-05-17,13,49.4,3.8,9.9, 0.01G
948701,2017-05-18,14,49.9,6.8,15.9, 0.00G
948701,2017-05-19,12,51.6,3.4,11.1, 0.05G
948701,2017-05-20,14,50.1,8.7,15, 0.00G
948701,2017-05-21,14,51,9.9,15, 0.00I
948701,2017-05-22,17,48.7,10.5,15, 0.00I
948701,2017-05-23,15,49.9,7.9,13, 0.01G
948701,2017-05-24,14,48.4,7.5,13, 0.00G
948701,2017-05-25,14,50.7,8.6,13, 0.12G
948701,2017-05-26,13,48.5,7.1,15.9, 0.00G
948701,2017-05-27,14,48.1,13.7,19, 0.35G
948701,2017-05-28,9,41.2,10,13, 0.02G
948701,2017-05-29,12,42.8,12.1,19, 0.04G
948701,2017-05-30,8,41.6,8.3,15.9, 0.24G
948701,2017-05-31,11,43.8,6.5,12, 0.02G
948701,2017-06-01,11,43.2,5.5,8, 0.00G
948701,2017-06-02,12,47,4.8,8.9, 0.00I
948701,2017-06-03,8,43.3,3.9,8, 0.00I
948701,2017-06-04,9,43.2,4.9,8, 0.00I
948701,2017-06-05,12,47.6,9.1,13, 0.12G
948701,2017-06-06,9,40.8,6.7,15, 0.01G
948701,2017-06-07,8,40.7,5.3,12, 0.00G
948701,2017-06-08,10,46.3,4.6,8, 0.08G
948701,2017-06-09,10,47.1,4.6,8.9, 0.00G
948701,2017-06-10,8,44.5,4.7,7, 0.01G
948701,2017-06-11,10,44.9,5.5,8.9, 0.00G
948701,2017-06-12,12,49.4,4.4,8.9, 0.00I
948701,2017-06-13,8,43.1,3.4,7, 0.00I
948701,2017-06-14,11,46.4,6.5,8.9, 0.00I
948701,2017-06-15,11,45.4,5.2,8.9, 0.00A
948701,2017-06-16,8,42.6,2,6, 0.00I
948701,2017-06-17,10,45.6,4.5,7, 0.00I
948701,2017-06-18,10,47.9,4.1,7, 0.00I
948701,2017-06-19,11,45.1,5.6,9.9, 0.00I
948701,2017-06-20,11,45.3,10.6,16.9, 0.08G
948701,2017-06-21,10,45.9,3.2,7, 0.00G
948701,2017-06-22,10,41.4,9.4,14, 0.00I
948701,2017-06-23,11,43.9,11.2,16.9, 0.12G
948701,2017-06-24,10,37.9,8.5,14, 0.02G
948701,2017-06-25,11,44.2,8.7,15.9, 0.04G
948701,2017-06-26,10,45.7,3.6,7, 0.01G
948701,2017-06-27,9,41,8.2,9.9, 0.00G
948701,2017-06-28,10,43.7,7.2,11.1, 0.00I
948701,2017-06-29,10,42.1,9.4,15, 0.13B
948701,2017-06-30,5,34.9,4.3,11.1, 0.00A
948701,2017-07-01,5,33.1,5.8,14, 0.00I
948701,2017-07-02,6,30.8,5.7,11.1, 0.00I
948701,2017-07-03,11,45.1,11.5,18.1, 0.20G
948701,2017-07-04,12,47.2,8.8,15, 0.00G
948701,2017-07-05,9,42.4,7.2,9.9, 0.00I
948701,2017-07-06,9,40.1,7.5,11.1, 0.00I
948701,2017-07-07,9,41.2,9.8,15.9, 0.00I
948701,2017-07-08,9,42.8,9.3,13, 0.08G
948701,2017-07-09,10,39.4,9.6,14, 0.00G
948701,2017-07-10,10,44.4,5.6,11.1, 0.12G
948701,2017-07-11,6,39,1.8,5.1, 0.01G
948701,2017-07-12,9,39,5.6,8.9, 0.00G
948701,2017-07-13,12,40.7,16.7,21, 0.12G
948701,2017-07-14,9,40,8.6,15, 0.00G
948701,2017-07-15,6,37.1,5.8,9.9, 0.00I
948701,2017-07-16,10,35.6,14.5,20, 0.00I
948701,2017-07-17,12,41.8,14.7,21, 0.00I
948701,2017-07-18,10,44.8,8.8,14, 0.39G
948701,2017-07-19,10,43.5,12,16.9, 0.04G
948701,2017-07-20,7,40.5,8.1,15, 0.12G
948701,2017-07-21,8,39.3,7.7,14, 0.00G
948701,2017-07-22,11,35.3,18.2,25.1, 0.00I
948701,2017-07-23,10,44.7,8,15.9, 0.08G
948701,2017-07-24,12,44.7,11.4,18.1, 0.00G
948701,2017-07-25,13,44,13.6,21, 0.04G
948701,2017-07-26,8,43.8,7.3,14, 0.08G
948701,2017-07-27,11,43.5,13.1,21, 0.24G
948701,2017-07-28,11,40.5,13.4,26, 0.00G
948701,2017-07-29,15,41.5,17,28.9, 0.00I
948701,2017-07-30,9,42,4.6,12, 0.00I
948701,2017-07-31,7,40.5,3.1,8, 0.00I
948701,2017-08-01,7,40.7,3.7,7, 0.00I
948701,2017-08-02,5,38.6,1.8,5.1, 0.00I
948701,2017-08-03,8,44.6,3.9,8, 0.39G
948702,2017-08-04,10,41,14.1,20, 0.02G
948702,2017-08-05,11,40.4,19.3,26, 0.00G
948702,2017-08-06,9,41.1,12.7,19, 0.24G
948702,2017-08-07,9,42.9,8.9,15.9, 0.12G
948702,2017-08-08,12,44.9,7.9,11.1, 0.00G
948702,2017-08-09,14,43.7,17,27, 0.00I
948702,2017-08-10,15,41.6,15,28, 0.00I
948702,2017-08-11,12,43.9,12,15.9, 0.08G
948702,2017-08-12,12,47,7.7,15, 0.08G
948702,2017-08-13,15,41.2,13.8,16.9, 0.00G
948702,2017-08-14,14,44.6,7.7,15.9, 0.03G
948702,2017-08-15,14,49.9,13.7,22, 0.03G
948702,2017-08-16,13,42.5,14,19, 0.04G
948702,2017-08-17,10,39.9,12.6,16.9, 0.08G
948702,2017-08-18,8,41,11,16.9, 0.47G
948702,2017-08-19,7,37.9,5.7,9.9, 0.04G
948702,2017-08-20,8,37.2,5.5,11.1, 0.00G
948702,2017-08-21,9,40.4,6.9,9.9, 0.02G
948702,2017-08-22,12,43.3,7,11.1, 0.00G
948702,2017-08-23,10,44.1,7.3,12, 0.39G
948702,2017-08-24,9,42.2,6.4,9.9, 0.01G
948702,2017-08-25,12,40.4,5.9,8.9, 0.00G
948702,2017-08-26,11,39.7,11.8,19, 0.28G
948702,2017-08-27,7,37.2,6.2,16.9, 0.08G
948702,2017-08-28,8,40.8,5.5,9.9, 0.01G
948702,2017-08-29,10,41.4,6.9,8.9, 0.00G
948702,2017-08-30,8,39.3,4.7,13, 0.02G
948702,2017-08-31,8,36.3,6.3,13, 0.01G
948702,2017-09-01,13,38.4,11.5,16.9, 0.00G
948702,2017-09-02,17,38.7,16.8,22.9, 0.00I
948702,2017-09-03,12,41,12.9,16.9, 0.16G
948702,2017-09-04,8,35,14.4,20, 0.00G
948702,2017-09-05,8,38.6,12.8,18.1, 0.31G
948702,2017-09-06,10,43.7,9.5,13, 0.08G
948702,2017-09-07,10,43.6,9.7,14, 0.20G
948702,2017-09-08,9,41.9,9.2,14, 0.12G
948702,2017-09-09,9,43.9,5.7,9.9, 0.00G
948702,2017-09-10,11,41.7,8.7,19, 0.00I
948702,2017-09-11,14,47.4,10.6,19, 0.03G
948702,2017-09-12,13,51.1,6,13, 0.12G
948702,2017-09-13,9,40.1,12.1,15, 0.08G
948702,2017-09-14,12,44.5,11.1,15, 0.00G
948702,2017-09-15,11,46.2,10.5,15, 0.28G
948702,2017-09-16,9,37.9,9.1,15.9, 0.00G
948702,2017-09-17,14,36,15.9,22, 0.00I
948702,2017-09-18,14,39.3,17.7,30.9, 0.01G
948702,2017-09-19,9,41.2,6.7,13, 0.01G
948702,2017-09-20,14,41.7,12.3,18.1, 0.00G
948702,2017-09-21,15,47.3,8.6,22.9, 0.00I
948702,2017-09-22,20,43.6,10.3,15, 0.00I
948702,2017-09-23,17,46.3,11.7,20, 0.02G
948702,2017-09-24,14,44,14.4,23.9, 0.16G
948702,2017-09-25,9,42.1,7.6,12, 0.01G
948702,2017-09-26,11,40.8,6.4,8.9, 0.00G
948702,2017-09-27,15,44.8,8.3,19, 0.00I
948702,2017-09-28,13,43.6,9,15, 0.00I
948702,2017-09-29,14,41.6,13.1,18.1, 0.00I
948702,2017-09-30,11,41.6,7.9,15, 0.01G
948702,2017-10-01,12,47.9,6.7,11.1, 0.00G
948702,2017-10-02,11,44.2,5.8,9.9, 0.00I
948702,2017-10-03,13,46.2,5.6,12, 0.00I
948702,2017-10-04,19,50.3,7.7,11.1, 0.00I
948702,2017-10-05,12,47.5,15,18.1, 0.20G
948702,2017-10-06,11,45.3,8.5,15, 0.00G
948702,2017-10-07,17,46.4,9.5,20, 0.00I
948702,2017-10-08,18,54.6,12,25.1, 0.12G
948702,2017-10-09,12,44.4,7.8,14, 0.00G
948702,2017-10-10,13,42.5,8,15, 0.00I
948702,2017-10-11,15,48.2,14.7,25.1, 0.43G
948702,2017-10-12,15,44.5,10.2,14, 0.00G
948702,2017-10-13,12,44.2,6.2,15, 0.00I
948702,2017-10-14,11,43.2,5.9,14, 0.00I
948702,2017-10-15,13,50.7,6.1,13, 0.00I
948702,2017-10-16,19,54.3,5.9,12, 0.00I
948702,2017-10-17,22,46.8,8,16.9, 0.00I
948702,2017-10-18,26,52.2,13.7,16.9, 0.00I
948702,2017-10-19,15,51,9.6,15.9, 0.16G
948702,2017-10-20,13,42,11.4,16.9, 0.00G
948702,2017-10-21,12,47.3,9.7,14, 0.02G
948702,2017-10-22,13,50.3,8.6,13, 0.02G
948702,2017-10-23,14,49.5,6,12, 0.00G
948702,2017-10-24,15,53.7,6.8,11.1, 0.51G
948702,2017-10-25,14,51,9.1,12, 0.00G
948702,2017-10-26,13,50.4,7.9,14, 0.00I
948702,2017-10-27,22,46.9,12.9,19, 0.00I
948702,2017-10-28,15,48.7,8.5,20, 0.01G
948702,2017-10-29,17,44.9,16.1,27, 0.24G
948702,2017-10-30,11,43.2,8.1,14, 0.20G
948702,2017-10-31,13,47.1,8.1,12, 0.01G
948702,2017-11-01,13,50.1,8.5,12, 0.08G
948702,2017-11-02,12,43.8,6.7,14, 0.16G
948702,2017-11-03,11,40.4,9.2,15, 0.04G
948702,2017-11-04,11,41.4,7.7,15, 0.03G
948702,2017-11-05,13,43.3,9.4,14, 0.00G
948702,2017-11-06,13,44.1,12.9,19, 0.02G
948702,2017-11-07,12,42.7,10,15.9, 0.01G
948702,2017-11-08,12,46.6,6.7,14, 0.00G
948702,2017-11-09,14,50.9,5.9,13, 0.00I
948702,2017-11-10,18,53.8,6.4,11.1, 0.00I
948702,2017-11-11,18,55.6,8.2,12, 0.00I
948702,2017-11-12,18,53.8,6.7,14, 0.00I
948702,2017-11-13,24,51.9,7.3,13, 0.00I
948702,2017-11-14,28,48.3,11.9,22, 0.00I
948702,2017-11-15,21,58.8,8.8,22.9, 0.08G
948702,2017-11-16,18,61.5,5.5,11.1, 0.28G
948702,2017-11-17,19,58.7,5.5,12, 0.28G
948702,2017-11-18,20,58.4,4.7,11.1, 0.01G
948702,2017-11-19,22,57,8.5,15, 0.00G
948702,2017-11-20,24,55.5,7.9,15, 0.00I
948702,2017-11-21,24,51.8,7.9,15, 0.00I
948702,2017-11-22,23,49.6,6.3,13, 0.00I
948702,2017-11-23,24,56.8,5.7,9.9, 0.00I
948702,2017-11-24,23,58.8,9.1,15, 0.01G
948702,2017-11-25,24,60.1,8,13, 0.12G
948702,2017-11-26,20,60.8,10.4,16.9, 0.08G
948702,2017-11-27,17,52.7,7.7,14, 0.00G
948702,2017-11-28,23,58.8,8.8,15, 0.00I
948702,2017-11-29,28,56.7,9.3,16.9, 0.00I
948702,2017-11-30,26,61,9.3,15, 0.20G
948702,2017-12-01,17,59,9.4,15, 0.75G
948702,2017-12-02,15,56.2,16.9,20, 1.77G
948702,2017-12-03,14,48.2,12.5,19, 0.03G
948702,2017-12-04,14,48.2,9.1,15, 0.00G
948702,2017-12-05,17,53,14.6,22.9, 0.00I
948702,2017-12-06,16,51.7,7.4,15, 0.00I
948702,2017-12-07,15,51,9,13, 1.26G
948702,2017-12-08,15,48.1,7.9,12, 0.00G
948702,2017-12-09,17,53.6,7.6,15, 0.00I
948702,2017-12-10,17,53.5,7.3,14, 0.00I
948702,2017-12-11,17,52,8.8,15, 0.00I
948702,2017-12-12,19,55.3,6.2,12, 0.00I
948702,2017-12-13,28,49.9,11,19, 0.00I
948702,2017-12-14,17,52.5,7.7,16.9, 0.00I
948702,2017-12-15,18,52,7.1,14, 0.00I
948702,2017-12-16,18,53.7,9,13, 0.00I
948702,2017-12-17,21,58.7,7.8,13, 0.00I
948702,2017-12-18,25,60.9,6.3,8.9, 0.00I
948702,2017-12-19,21,57.4,10.7,22.9, 0.67G
948702,2017-12-20,17,51.2,9.9,18.1, 0.00G
948702,2017-12-21,17,52.5,5.7,11.1, 0.00I
948702,2017-12-22,19,55.8,6,11.1, 0.00I
948702,2017-12-23,19,53.9,8.3,14, 0.00I
948702,2017-12-24,16,47,12,16.9, 0.00I
948702,2017-12-25,17,50.4,10.8,16.9, 0.00I
948702,2017-12-26,22,55.5,10.3,19, 0.00I
948702,2017-12-27,28,58.3,9.3,15.9, 0.00I
948702,2017-12-28,21,61.1,6.6,11.1, 0.00I
948702,2017-12-29,19,59.7,7.4,14, 0.63G
948702,2017-12-30,16,51.5,8.7,15, 0.02G
948702,2017-12-31,18,53.6,7.9,15.9, 0.00G
948702,2018-01-01,19,52.9,8.1,15, 0.00I
